Name,Search Category,Google Category,Address,Phone,Website,Latitude_URL,Longitude_URL,Google Maps URL
Mahindra Tractor Plant Zaheerabad,Bank,Manufacturer,"Mahindra and Mahindra Farm Division (Mahindra tractor plant, near, Zaheerabad - Bidar Rd, T Junction, Mahindra Nagar, Zaheerabad, Telangana 502220",000 800 100 4175,http://www.mahindra.com/,17.6867174,77.5822892,https://www.google.com/maps/place/Mahindra+Tractor+Plant+Zaheerabad/data=!4m7!3m6!1s0x3bceb56d796c3a9b:0x78090a44aead7530!8m2!3d17.6867174!4d77.5822892!16s%2Fg%2F11fz2stx97!19sChIJmzpseW21zjsRMHWtrkQKCXg?authuser=0&hl=en&rclk=1
Kotak Mahindra Bank,Bank,Bank,"Ground floor, SBH colony, 99, Main road, Dattagiri Colony, Zaheerabad, Telangana 502220",1860 266 2666,https://www.kotak.com/en/home.html,17.6810052,77.6175739,https://www.google.com/maps/place/Kotak+Mahindra+Bank/data=!4m7!3m6!1s0x3bceb55fc51b7b99:0x284c4f84b824f1ea!8m2!3d17.6810052!4d77.6175739!16s%2Fg%2F11nfmhp6t1!19sChIJmXsbxV-1zjsR6vEkuIRPTCg?authuser=0&hl=en&rclk=1
Andhra Pradesh Grameena Vikas Bank,Bank,Bank,"Zaheerabad, Medak, NH-9, Mumbai Highway, Zaheerabad, Zaheerabad, Telangana 502220",094409 03961,http://www.apgvbank.in/,17.6796193,77.6063946,https://www.google.com/maps/place/Andhra+Pradesh+Grameena+Vikas+Bank/data=!4m7!3m6!1s0x3bceb51fb60f2cc1:0xeea15c943507376a!8m2!3d17.6796193!4d77.6063946!16s%2Fg%2F11cn92l1ng!19sChIJwSwPth-1zjsRajcHNZRcoe4?authuser=0&hl=en&rclk=1
HDFC Bank,Bank,Bank,"1st Floor, Life Style Complex, 2/1/123, Main Road, Subhash Gunj, Zaheerabad, Telangana 502220",094097 67967,https://near-me.hdfcbank.com/branch-atm-locator/hdfc-bank-zaheerabad-banks-zaheerabad-medak-11287/Home?utm_source=locator&utm_medium=googleplaces,17.6809911,77.6166365,https://www.google.com/maps/place/HDFC+Bank/data=!4m7!3m6!1s0x3bceb4e0567b7bf1:0xdc2e1b6b6de24c2e!8m2!3d17.6809911!4d77.6166365!16s%2Fg%2F11b6g9hfm6!19sChIJ8Xt7VuC0zjsRLkzibWsbLtw?authuser=0&hl=en&rclk=1
SBI Zaheerabad Branch,Bank,Bank,"Main Road, Mumbai Road, Zaheerabad Medak, Telangana 502220",1800 1234,https://www.sbi.co.in/,17.690095,77.599293,https://www.google.com/maps/place/SBI+Zaheerabad+Branch/data=!4m7!3m6!1s0x3bceb50c2c062277:0x96989d3e2a1462ee!8m2!3d17.690095!4d77.599293!16s%2Fg%2F11smx9yzn_!19sChIJdyIGLAy1zjsR7mIUKj6dmJY?authuser=0&hl=en&rclk=1
CENTRAL BANK OF INDIA - ZAHEERABAD Branch,Bank,Bank,"Mankal Complex, Zaheerabad, Medak, NH-9, Mumbai Highway, Zaheerabad, Zaheerabad, Telangana 502220",084512 82084,https://www.centralbankofindia.co.in/,17.6798,77.6094,https://www.google.com/maps/place/CENTRAL+BANK+OF+INDIA+-+ZAHEERABAD+Branch/data=!4m7!3m6!1s0x3bceb4e0497f5063:0x355e2523d0824fc1!8m2!3d17.6798!4d77.6094!16s%2Fg%2F11cn957np9!19sChIJY1B_SeC0zjsRwU-C0CMlXjU?authuser=0&hl=en&rclk=1
Zaheerabad,Bus Station,Bus stop,Telangana 502220,,,17.687214,77.586213,https://www.google.com/maps/place/Zaheerabad/data=!4m7!3m6!1s0x3bceb5129f1dee2d:0xe48cb2bfa6e6da55!8m2!3d17.687214!4d77.586213!16s%2Fg%2F11f905gs_k!19sChIJLe4dnxK1zjsRVdrmpr-yjOQ?authuser=0&hl=en&rclk=1
Zaheerabad,Bus Station,Bus stop,"Zaheerabad, Telangana 502220",,,17.679548,77.605049,https://www.google.com/maps/place/Zaheerabad/data=!4m7!3m6!1s0x3bceb51f014f455f:0xef42e94d28992690!8m2!3d17.679548!4d77.605049!16s%2Fg%2F11h6mszht1!19sChIJX0VPAR-1zjsRkCaZKE3pQu8?authuser=0&hl=en&rclk=1
Zaheerabad,Bus Station,Bus stop,"Zaheerabad, Telangana 502228",,,17.681062,77.614721,https://www.google.com/maps/place/Zaheerabad/data=!4m7!3m6!1s0x3bceb4e6dc459a9b:0xe1298bcf4c3004d9!8m2!3d17.681062!4d77.614721!16s%2Fg%2F1tfgh8jl!19sChIJm5pF3Oa0zjsR2QQwTM-LKeE?authuser=0&hl=en&rclk=1
Zaheerabad,Bus Station,Bus stop,"Dattagiri Colony, Zaheerabad, Telangana 502228",,,17.68118,77.619281,https://www.google.com/maps/place/Zaheerabad/data=!4m7!3m6!1s0x3bceb4e881f99823:0x348359d4a2ce69d6!8m2!3d17.68118!4d77.619281!16s%2Fg%2F11f90nt_ml!19sChIJI5j5gei0zjsR1mnOotRZgzQ?authuser=0&hl=en&rclk=1
